Co_ID,Exchange,Name,"Root
Ticker"," QMV(C$)
31-August-2019 "," O/S Shares
31-August-2019 ",Sector,"Sub
Sector",Listing Type,"Date of 
TSX Listing
YYYYMMDD","HQ
Location","HQ
Region","Interlisted
Code_I","Interlisted
Code_II",Listed on OTC,"TSX 
Venture 
Grad","Former
CPC",Index,Clean Technology Primary Industry,Clean Technology Sub-Sector,Technology Sub-Sector ,"Consumer Products & Services
Sub-Sector",Real Estate Sub-Sector ,Life Sciences Sub-Sector,USA_City,USA_State,Asia Region,Israel Related,"Place of Incorporation
C=Canada
U=USA
F=Foreign",Fund Family,SP Grouping,SP_Type,SP_Sub,"Income Trust 
Conversion"," Volume YTD
31-August-2019 "," Value (C$) YTD
31-August-2019 "," Number of 
Trades YTD
31-August-2019 "," Number of
Months of 
Trading Data ",AFRICA,AUS/NZ/PNG,CANADA,CHINA & ASIA,LATIN AMERICA,OTHER,UK/EUROPE,USA,Oil and Gas,Gold,Silver,Copper,Nickel,Diamond,Molybdenum,Platinum/PGM,Iron,Lead,Zinc,Rare Earths,Potash,Lithium,Uranium,Coal,Tungsten,Base & Precious Metals,Mineral Properties (General),Other Properties
COU0002,TSX,Street Capital Group Inc.,SCB," 81,863,402 "," 122,184,182 ", Financial Services ,,,19860619,ON,Canada,,,,,,,,,,,,,,,,,C,,,,,," 25,255,566 "," 15,925,980 "," 1,547 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STR0012,TSX,Strongco Corporation,SQP," 19,790,144 "," 13,371,719 ", Industrial Products & Services ,,,19951211,ON,Canada,,,,,,,,,,,,,,,,,C,,,,,2005_2010," 212,887 "," 338,807 ", 284 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHU0002,TSX,Stuart Olson Inc.,SOX," 161,689,125 "," 28,792,275 ", Industrial Products & Services ,,TSXV Grad,19991208,AB,Canada,,,,1,,,,,,,,,,,,,C,,,,,," 8,932,442 "," 46,708,132 "," 27,270 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUL0004,TSX,Sulliden Mining Capital Inc.,SMC," 2,902,400 "," 41,462,851 ", Mining ,,Other,20140811,ON,Canada,,,,,,,,,,,,,,,,,C,,,,,," 10,955,480 "," 943,835 ", 847 , 8 ,,,Quebec,,,,,,,1,,,,,,,,,,,,,,,,,,
SUM0005,TSX,Summit Industrial Income REIT,SMU," 1,533,153,299 "," 118,573,341 ", Real Estate ,,TSXV Grad,20131111,ON,Canada,,,,1,,1,,,,,Industrial/Office/Retail/Residential,,,,,,C,,Income Trust,,REIT,," 92,432,586 "," 1,102,259,837 "," 290,166 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUN0014,TSX,Sun Life Financial Inc.,SLF," 34,023,509,069 "," 683,239,889 ", Financial Services ,,IPO,20000329,ON,Canada,NYSE,,,,,60,,,,,,,,,,,C,,,,,," 270,922,768 "," 13,560,810,585 "," 1,094,474 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUN0008,TSX,Suncor Energy Inc.,SU," 60,575,744,126 "," 1,555,617,466 ", Oil & Gas ,,,19660117,AB,Canada,NYSE,,,,,60,,,,,,,,,,,C,,,,,," 606,748,056 "," 25,559,779,224 "," 2,109,596 ", 8 ,,,"AB,BC",,,,,,1,,,,,,,,,,,,,,,,,,,
STA0004,TSX,SunOpta Inc.,SOY," 269,571,447 "," 87,808,289 ", Clean Technology ,Agriculture,,20011106,ON,Canada,NasdaqGM,,,,,,Consumer Products & Services,Low Impact Material and Products,,,,,,,,,C,,,,,," 13,127,651 "," 58,439,837 "," 87,629 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIN0016,TSX,Sunwah International Limited,SWH," 32,598,974 "," 93,139,927 ", Financial Services ,,TSXV Grad,20021017,Hong Kong,Asia,,,,1,,,,,,,,,,,Hong Kong,,F,,,,,," 48,300 "," 13,694 ", 82 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP0001,TSX,Superior Plus Corp.,SPB," 2,026,767,871 "," 174,872,120 ", Utilities & Pipelines ,,,19961007,ON,Canada,,,,,,1,,,,,,,,,,,C,,,,,2009," 92,135,092 "," 1,086,849,894 "," 300,179 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP0004,TSX,Supremex Inc.,SXP," 74,333,178 "," 28,156,507 ", Consumer Products & Services ,Forest Products & Paper,IPO,20060330,Quebec,Canada,,,,,,,,,,Consumer Discretionary,,,,,,,C,,,,,2011," 7,143,468 "," 19,769,534 "," 13,693 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUR0006,TSX,Surge Energy Inc.,SGY," 420,704,079 "," 314,847,754 ", Oil & Gas ,,TSXV Grad,20111021,AB,Canada,,,,1,,,,,,,,,,,,,C,,,,,," 161,832,678 "," 241,063,978 "," 114,675 ", 8 ,,,"AB,MB",,,,,SD,1,,,,,,,,,,,,,,,,,,,
SWI0002,TSX,Swiss Water Decaffeinated Coffee Inc.,SWP," 55,998,278 "," 9,061,210 ", Consumer Products & Services ,,,20020723,BC,Canada,,,,,,,,,,Consumer Staples,,,,,,,C,,,,,2011," 2,422,969 "," 13,984,467 "," 7,584 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYM0005,TSX,Symphony Floating Rate Senior Loan Fund,SSF," 82,604,085 "," 10,160,404 ", Closed-End Funds ,,IPO,20111101,ON,Canada,,,,,,,,,,,,,,,,,C,Brompton,Other SPI,Fund of Debt,FI Trust,," 1,563,583 "," 12,975,640 "," 2,488 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYN0003,TSX,Synex International Inc.,SXI," 8,528,701 "," 37,905,339 ", Clean Technology ,,,19870605,BC,Canada,,,,,,,Utilities & Pipelines,Renewable Energy Production and Distribution,,,,,,,,,C,,,,,," 882,274 "," 216,884 ", 430 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAG0001,TSX,TAG Oil Ltd.,TAO," 31,538,523 "," 85,239,252 ", Oil & Gas ,,TSXV Grad,20110716,BC,Canada,,,OTCQX,1,,,,,,,,,,,,,C,,,,,," 7,764,195 "," 2,674,269 "," 2,025 ", 8 ,,New Zealand,,,,,,,1,,,,,,,,,,,,,,,,,,,
TAI0001,TSX,Taiga Building Products Ltd.,TBL," 121,341,820 "," 115,563,638 ", Industrial Products & Services ,,,19930607,BC,Canada,,,,,,,,,,,,,,,,,C,,,,,"2005, 2006"," 4,309,743 "," 4,553,460 ", 471 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA0017,TSX,Talon Metals Corp.,TLO," 96,394,118 "," 494,328,808 ", Mining ,,TSXV Grad,20050413,Brazil,Latin America,,,,1,,,,,,,,,,,,,F,,,,,," 11,568,606 "," 1,755,676 "," 1,293 ", 8 ,,,,,Brazil,,,MN,,,,1,1,,,,1,,,,,,,,,,,Cobalt
TAM0002,TSX,Tamarack Valley Energy Ltd.,TVE," 425,751,262 "," 226,463,437 ", Oil & Gas ,,TSXV Grad,20150824,AB,Canada,,,,1,,,,,,,,,,,,,C,,,,,," 136,036,399 "," 324,901,462 "," 200,069 ", 8 ,,,"AB, WCSB",,,,,,1,,,,,,,,,,,,,,,,,,,
TAN0001,TSX,Tanzanian Gold Corporation,TNX," 157,713,445 "," 148,786,269 ", Mining ,,Other,20011029,BC,Canada,NYSE MKT,,,,,,,,,,,,,,,,C,,,,,," 6,656,441 "," 6,419,672 "," 9,289 ", 8 ,Tanzania,,,,,,,,,1,,,,,,,,,,,,,,,,1,,
TAS0002,TSX,Taseko Mines Limited,TKO," 140,330,705 "," 246,194,219 ", Mining ,,TSXV Grad,20060308,BC,Canada,NYSE MKT,,,1,,,,,,,,,,,,,C,,,,,," 31,981,254 "," 23,787,216 "," 18,986 ", 8 ,,,BC,,,,,AZ,,1,,1,,,1,,,,,,,,,,,,,Niobium
TRA0031,TSX,TC Energy Corporation,TRP," 66,552,713,928 "," 1,094,787,399 ", Utilities & Pipelines ,,,20030515,AB,Canada,NYSE,,,,,60,,,,,,,,,,,C,,,,,," 423,765,072 "," 25,303,196,581 "," 1,575,805 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDA0002,TSX,TD Active Global Enhanced Dividend ETF,TGED," 6,040,000 "," 400,000 ", ETP ,,IPO,20190509,ON,Canada,,,,,,,,,,,,,,,,,C,TD,ETP,Exchange Traded Funds,,," 439,690 "," 6,593,580 ", 720 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDA0001,TSX,TD Active Preferred Share ETF,TPRF," 56,925,000 "," 6,900,000 ", ETP ,,IPO,20181114,ON,Canada,,,,,,,,,,,,,,,,,C,TD,ETP,Exchange Traded Funds,,," 1,147,936 "," 10,093,733 ", 844 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDC0002,TSX,TD Canadian Aggregate Bond Index ETF,TDB," 17,399,500 "," 1,150,000 ", ETP ,,IPO,20160330,ON,Canada,,,,,,,,,,,,,,,,,C,TD,ETP,Exchange Traded Funds,,," 527,257 "," 7,711,549 ", 874 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDS0003,TSX,TD Canadian Equity Index ETF,TTP," 14,608,000 "," 800,000 ", ETP ,,IPO,20160330,ON,Canada,,,,,,,,,,,,,,,,,C,TD,ETP,Exchange Traded Funds,,," 299,916 "," 5,395,073 ", 831 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDG0001,TSX,TD Global Technology Leaders Index ETF,TEC," 13,554,000 "," 900,000 ", ETP ,,IPO,20190509,ON,Canada,,,,,,,,,,,,,,,,,C,TD,ETP,Exchange Traded Funds,,," 771,498 "," 11,548,007 "," 1,474 ", 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDI0001,TSX,TD International Equity CAD Hedged Index ETF,THE," 3,540,000 "," 200,000 ", ETP ,,IPO,20160330,ON,Canada,,,,,,,,,,,,,,,,,C,TD,ETP,Exchange Traded Funds,,," 32,819 "," 590,569 ", 193 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDI0002,TSX,TD International Equity Index ETF,TPE," 32,566,000 "," 1,900,000 ", ETP ,,IPO,20160330,ON,Canada,,,,,,,,,,,,,,,,,C,TD,ETP,Exchange Traded Funds,,," 173,228 "," 3,005,155 ", 736 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDS0004,TSX,TD Select Short Term Corporate Bond Ladder ETF,TCSB," 33,411,000 "," 2,150,000 ", ETP ,,IPO,20181114,ON,Canada,,,,,,,,,,,,,,,,,C,TD,ETP,Exchange Traded Funds,,," 592,929 "," 9,139,346 ", 600 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDS0005,TSX,TD Select U.S. Short Term Corporate Bond Ladder ETF,TUSB," 5,492,000 "," 400,000 ", ETP ,,IPO,20181114,ON,Canada,,,,,,,,,,,,,,,,,C,TD,ETP,Exchange Traded Funds,,," 117,278 "," 1,469,188 ", 170 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDS0006,TSX,TD Systematic International Equity Low Volatility ETF,TILV," 2,958,000 "," 200,000 ", ETP ,,IPO,20190509,ON,Canada,,,,,,,,,,,,,,,,,C,TD,ETP,Exchange Traded Funds,,," 32,663 "," 491,360 ", 93 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDS0001,TSX,TD U.S. Equity CAD Hedged Index ETF,THU," 6,234,000 "," 300,000 ", ETP ,,IPO,20160330,ON,Canada,,,,,,,,,,,,,,,,,C,TD,ETP,Exchange Traded Funds,,," 93,839 "," 1,884,156 ", 409 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDS0002,TSX,TD U.S. Equity Index ETF,TPU," 30,688,000 "," 1,400,000 ", ETP ,,IPO,20160330,ON,Canada,,,,,,,,,,,,,,,,,C,TD,ETP,Exchange Traded Funds,,," 589,516 "," 12,484,015 "," 1,915 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDB0001,TSX,TDb Split Corp.,XTD," 55,710,557 "," 6,773,320 ", Closed-End Funds ,,IPO,20070803,ON,Canada,,,,,,,,,,,,,,,,,C,Quadravest,Other SPI,Split Shares,Split Share Corp.,," 1,071,113 "," 7,636,764 "," 2,796 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEC0009,TSX,Teck Resources Limited,TECK," 12,641,863,397 "," 557,650,686 ", Mining ,,,19520325,BC,Canada,NYSE,,,,,60,,,,,,,,,,,C,,,,,," 249,256,829 "," 7,199,150,598 "," 1,324,737 ", 8 ,,,"AB,BC",,"Chile,Peru",,,"AK,WA",,,,1,,,,,,,1,,,,,1,,,,
TEC0013,TSX,TECSYS Inc.,TCS," 174,649,720 "," 13,082,376 ", Technology ,,,19980727,Quebec,Canada,,,,,,,,,Software,,,,,,,,C,,,,,," 1,105,194 "," 15,065,919 "," 1,959 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEL0021,TSX,TELUS Corporation,T," 29,026,962,020 "," 601,844,537 ", Comm & Media ,,,19990201,BC,Canada,NYSE,,,,,60,,,,,,,,,,,C,,,,,," 177,125,391 "," 8,516,515,525 "," 859,829 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEM0006,TSX,Temple Hotels Inc.,TPH," 129,115,218 "," 75,066,987 ", Real Estate ,,TSXV Grad,20120723,MB,Canada,,,,1,1,,,,,,Industrial/Office/Retail/Residential,,,,,,C,,,,,2013," 10,358,536 "," 12,230,092 "," 3,363 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TER0010,TSX,TeraGo Inc.,TGO," 156,384,303 "," 16,601,306 ", Comm & Media ,,IPO,20070625,ON,Canada,,,,,,,,,,,,,,,,,C,,,,,," 3,539,968 "," 38,488,880 "," 7,483 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TER0012,TSX,Teranga Gold Corporation,TGZ," 582,044,420 "," 107,586,769 ", Mining ,,IPO,20101207,ON,Canada,,,OTCQX,,,,,,,,,,,,,,C,,,,,," 33,241,586 "," 141,315,806 "," 130,688 ", 8 ,"Burkina Faso,Côte d’Ivoire,Senegal",,,,,,,,,1,,,,,,,,,,,,,,,,,,
TER0008,TSX,TerraVest Industries Inc.,TVK," 232,225,189 "," 17,433,732 ", Industrial Products & Services ,Energy Services,IPO,20040708,AB,Canada,,,,,,,,,,,,,,,,,C,,,,,," 981,656 "," 16,062,668 "," 2,043 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TER0013,TSX,Tervita Corporation,TEV," 774,131,399 "," 116,586,054 ", Industrial Products & Services ,Energy Services,Other,20180724,AB,Canada,,,,,,,,,,,,,,,,,C,,,,,," 5,624,216 "," 35,799,905 "," 10,672 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRA0025,TSX,TFI International Inc.,TFII," 3,221,478,421 "," 83,134,927 ", Industrial Products & Services ,,Other,19991206,Quebec,Canada,,,OTCQX,,,1,,,,,,,,,,,C,,,,,2002," 43,712,359 "," 1,748,122,091 "," 296,844 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMP0007,TSX,The Empire Life Insurance Company,EML," 153,626,200 "," 5,980,000 ", Financial Services ,,IPO,20160216,ON,Canada,,,,,,,,,,,,,,,,,C,,,,,," 734,895 "," 18,930,638 "," 2,484 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRE0039,TSX,The Green Organic Dutchman Holdings Ltd.,TGOD," 925,681,304 "," 275,500,388 ", Life Sciences ,Cannabis,IPO,20180502,ON,Canada,,,,,,,,,,,,Medical Marijuana,,,,,C,,,,,," 513,423,006 "," 1,981,496,673 "," 699,882 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT0124,TSX,The Intertain Group Limited,ITX," 200,729,472 "," 19,564,276 ", Technology ,,TSXV Grad,20140218,ON,Canada,,,,1,1,,,,Internet Software & Services,,,,,,,,C,,,,,," 1,067,200 "," 12,253,281 "," 3,844 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMA0006,TSX,The Stars Group Inc.,TSGI," 5,820,641,044 "," 287,723,235 ", Technology ,,TSXV Grad,20131001,ON,Canada,NasdaqGM,,,1,,1,,,Software,,,,,,,,C,,,,,," 86,826,172 "," 1,958,726,261 "," 599,067 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUP0005,TSX,"The Supreme Cannabis Company, Inc.",FIRE," 556,249,279 "," 342,484,985 ", Life Sciences ,Cannabis,TSXV Grad,20190204,ON,Canada,,,OTCQX,1,,,,,,,,Medical Marijuana,,,,,C,,,,,," 123,029,103 "," 230,547,388 "," 144,233 ", 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE0001,TSX,Theratechnologies Inc.,TH," 434,977,987 "," 77,528,411 ", Life Sciences ,,Other,19981208,Quebec,Canada,,,,,,,,,,,,Biotechnology,,,,,C,,,,,," 23,173,676 "," 173,381,409 "," 91,180 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THO0001,TSX,Thomson Reuters Corporation,TRI," 45,919,937,809 "," 507,157,261 ", Comm & Media ,,,19800313,ON,Canada,NYSE,,,,,60,,,,,,,,,,,C,,,,,," 90,833,512 "," 7,157,455,267 "," 596,975 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TID0002,TSX,Tidewater Midstream and Infrastructure Ltd.,TWM," 421,925,925 "," 335,594,639 ", Industrial Products & Services ,Energy Services,TSXV Grad,20171120,AB,Canada,,,,1,,,,,,,,,,,,,C,,,,,," 76,440,507 "," 106,305,260 "," 45,207 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIM0007,TSX,Timbercreek Financial Corp.,TF," 932,587,538 "," 84,423,391 ", Financial Services ,,IPO,20080704,ON,Canada,,,,,,,,,,,,,,,,,C,,,,,," 13,364,449 "," 137,576,471 "," 51,268 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIT0005,TSX,Titan Medical Inc.,TMD," 89,401,180 "," 31,150,237 ", Life Sciences ,,TSXV Grad,20140930,ON,Canada,NasdaqCM,,OTCQB,1,1,,,,,,,Health Care Technology,,,,,C,,,,,," 21,636,633 "," 70,305,901 "," 84,346 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIT0006,TSX,Titan Mining Corporation,TI," 38,839,180 "," 104,970,757 ", Mining ,,IPO,20171019,BC,Canada,,,,,,,,,,,,,,,,,C,,,,,," 7,463,198 "," 4,172,421 "," 2,448 ", 8 ,,,,,,,,NY,,,,,,,,,,,1,,,,,,,,,
TMA0001,TSX,TMAC Resources Inc.,TMR," 617,260,508 "," 113,051,375 ", Mining ,,IPO,20150707,ON,Canada,,,,,,,,,,,,,,,,,C,,,,,," 17,687,774 "," 98,079,846 "," 63,490 ", 8 ,,,NU,,,,,,,1,,,,,,,,,,,,,,,,,,
TSX0001,TSX,TMX Group Limited,X," 6,464,171,938 "," 56,059,075 ", Financial Services ,,IPO,20021104,ON,Canada,,,,,,1,,,,,,,,,,,C,,,,,," 24,077,902 "," 2,169,422,969 "," 133,332 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIG0004,TSX,Top 10 Canadian Financial Trust,TCT," 10,681,683 "," 1,293,182 ", Closed-End Funds ,,,20000223,ON,Canada,,,,,,,,,,,,,,,,,C,Strathbridge,Other SPI,Fund of Equities,FI Trust,," 165,586 "," 1,421,033 ", 436 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0044,TSX,Top 10 Split Trust,TXT," 16,719,913 "," 2,224,872 ", Closed-End Funds ,,,19970203,ON,Canada,,,,,,,,,,,,,,,,,C,Strathbridge,Other SPI,Split Shares,Split Share Corp.,," 267,790 "," 1,747,324 ", 530 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP0004,TSX,Top 20 U.S. Dividend Trust,TUT," 18,307,801 "," 1,640,484 ", Closed-End Funds ,,IPO,20121015,ON,Canada,,,,,,,,,,,,,,,,,C,Scotia,Other SPI,Fund of Equities,FI Trust,," 214,670 "," 2,506,915 ", 331 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VER0015,TSX,TORC Oil & Gas Ltd.,TOG," 726,078,681 "," 219,359,118 ", Oil & Gas ,,Other,20051107,AB,Canada,,,,,,1,,,,,,,,,,,C,,,,,," 133,313,224 "," 580,981,407 "," 332,031 ", 8 ,,,AB,,,,,,1,,,,,,,,,,,,,,,,,,,
GLE0009,TSX,Torex Gold Resources Inc.,TXG," 1,823,112,538 "," 85,271,868 ", Mining ,,TSXV Grad,20100224,ON,Canada,,,,1,,1,,,,,,,,,,,C,,,,,," 59,783,958 "," 908,825,495 "," 358,236 ", 8 ,,,,,Mexico,,,,,1,,,,,,,,,,,,,,,,,,
